Nome	Categoria	Porção Média	Calorias	Carboidratos	Proteína	Gordura	Saturada	MUF	PUF	Fibra	A	B1	B2	B3	B5	B6	B9	B12	C	D	E	K	K2	Sódio	Potássio	Cálcio	Selenio	Fósforo	Zinco	Ferro	Mercurio	Cádmio	Chumbo	Cobre	Manganês	Magnésio	Choline	Omega 	Omega 	Creatina	Carnosina	Taurina	Glutathione	Glycine	Astaxanthin	Licopeno	Oleic Acid	Linoleic Acid	Lutein	Zeaxantina	Coenzima Q10	Sulforafano	Resveratrol	Quercetina	Curcumina	L-Teanina	Carnitina	Antocianinas	Isoflavonas	Catequinas	Ácido clorogenico	Ácido cafeico	Outros estilbenos	Lignanas	Fisetina	Apigenina	Ácido Elágico	Nitratos Naturais	Capsaicina	Hesperidina	Naringenina	Ácido Ursólico	Indol-3-Carbinol	DIM	Beta-Glucanas
Unidade		g	kcal	g	g	g	g	g	g	g	mcg	mg	mg	mg	mg	mg	mcg	mcg	mg	mcg	mg	mcg	mcg	mg	mg	mg	mcg	mg	mg	mg	mcg	mcg	mcg	mg	mg	mg	mg	g	g	mg	mg	mg	mg	mg	mg	mg	g	g	mg	mg	mg	mg	mg	mg	mg	mg	mg	mg	mg	mg	mg	mg	mg	mg	mg	mg	mg	mg	mg	mg	mg	mg	mg	mg	g
Recomendado		100	2000	130	56	44	0	0	0	25	900	1.2	1.3	16	5	1.3	400	2.4	90	15	15	120	0	1500	3400	1000	55	700	11	8	0	0	0	0.9	2.3	400	550	1.6	17	3000	500	1000	250	3000	4	10	20	12	10	2	100	10	100	500	500	200	1000	100	50	250	150	50	50	50	100	50	100	350	15	200	50	150	200	100	3
Máximo Recomendado		100	0	0	0	0	22	0	0	0	3000	0	0	35	0	100	1000	0	2000	100	1000	0	0	2300	0	2500	400	4000	40	45	7	25	10	10	11	350	3500	3	0	10000	2000	3000	1000	15000	12	75	45	17	20	10	1200	100	500	1000	2000	1200	3000	1000	150	800	1000	500	300	300	2000	1000	1000	2000	150	2000	500	1000	800	300	15
Carne Moída (patinho)		100	219	0	28	11	4.5	4.8	0.4	0	0	0.08	0.2	5.5	0.6	0.4	8	2.5	0	0.1	0.2	1.5	1.1	60	350	12	22	220	6.2	3	0.1	0.1	0.5	0.1	0.01	22	85	0.05	0.35	350	350	40	12	1800	0	0	4.1	0.3	0	0	3.1	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Peito de Frango		100	165	0	31	3.6	1	1.2	0.8	0	5	0.07	0.12	13.7	1.5	0.9	4	0.3	0	0.1	0.3	0	0.2	74	256	15	27	228	1	1	0.05	0.05	0.3	0.05	0.01	29	85	0.06	0.65	300	250	30	10	1200	0	0	1.1	0.6	0	0	1.4	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coxa de Frango		100	184	0	24	9	2.5	3.6	2.1	0	12	0.08	0.22	6.5	1.2	0.35	8	0.4	0	0.1	0.3	0	0.5	85	240	11	22	190	2	1.3	0.05	0.05	0.3	0.08	0.01	23	75	0.1	1.8	250	150	70	8	1500	0	0	3.2	1.6	0	0	2	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Caranguejo		100	97	0	19	1.5	0.2	0.3	0.6	0	4	0.05	0.07	2.7	0.3	0.15	44	9	3	0.1	2.5	0	0	539	259	89	44	218	4.1	0.7	0.5	0.5	0.8	0.7	0.03	48	70	0.45	0.05	0	0	250	5	1100	0.1	0	0.2	0.03	0	0	0.5	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ovos		100	155	1.1	12.6	10.6	3.3	4.1	1.9	0	149	0.07	0.51	0.07	1.4	0.12	44	1.1	0	2.2	1	0.3	15	124	126	50	31	172	1.1	1.2	0.02	0.01	0.05	0.06	0.03	10	294	0.11	1.1	0	0	0	5	400	0	0	3.5	1	0.35	0.25	0.5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bode		100	143	0	27	3	0.9	1.1	0.2	0	0	0.1	0.25	4	0.5	0.3	5	1.2	0	0.1	0.2	0	0.5	80	380	15	25	200	5.3	3.7	0.05	0.05	0.4	0.2	0.02	24	80	0.05	0.15	350	280	35	10	1600	0	0	1	0.1	0	0	2.5	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Carneiro		100	258	0	25	16.5	6.9	7.2	1.1	0	0	0.11	0.24	6.2	0.65	0.15	18	2.6	0	0.1	0.2	0	1.5	72	280	17	26	190	4.5	1.9	0.05	0.05	0.4	0.12	0.02	22	80	0.15	0.4	400	300	45	10	1700	0	0	6.5	0.35	0	0	3	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coelho		100	197	0	29	8	2.4	2.6	1.8	0	0	0.12	0.18	8.2	0.8	0.45	8	7	0	0.1	0.3	0	0.5	47	383	14	38	260	2.3	2.3	0.05	0.05	0.3	0.15	0.02	25	82	0.25	1.2	380	260	40	10	1400	0	0	2.2	1	0	0	2	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Salmão		100	206	0	22	12.5	2.5	4.5	4.4	0	15	0.22	0.15	8.5	1.6	0.65	25	3.2	0	11	1.1	0.5	0.2	60	384	15	36	250	0.4	0.3	1.5	0.1	0.2	0.05	0.02	30	95	2.5	0.3	450	120	150	8	1100	0.8	0	3.8	0.2	0	0	1	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacalhau		100	105	0	23	0.9	0.2	0.1	0.4	0	10	0.05	0.06	2.5	0.25	0.25	12	1.8	0	1	0.8	0	0	70	413	16	33	200	0.4	0.4	4	0.1	0.3	0.03	0.01	32	80	0.3	0.01	300	80	120	5	1000	0	0	0.08	0.01	0	0	0.3	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Camarão		100	99	0.2	24	0.3	0.1	0.05	0.12	0	54	0.03	0.03	2.6	0.4	0.1	4	1.7	0	0.1	2.2	0	0	220	260	70	38	240	1.3	0.5	0.8	0.8	0.5	0.3	0.02	35	135	0.12	0.02	0	0	200	10	1600	1.2	0	0.03	0.01	0	0	0.4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bife de vaca		100	250	0	26	15	6	6.5	0.5	0	0	0.08	0.2	6	0.6	0.5	10	3	0	0.1	0.2	1.5	1.1	60	350	12	25	230	6.5	2.8	0.1	0.1	0.5	0.1	0.01	22	85	0.05	0.35	400	380	40	12	1800	0	0	5.8	0.3	0	0	3.2	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atum enlatado		100	116	0	26	1	0.3	0.2	0.4	0	20	0.03	0.06	13.3	0.25	0.45	4	2.2	0	1.8	0.8	0	0	350	250	10	68	200	0.8	1.3	12	0.2	0.5	0.05	0.01	28	30	0.3	0.05	400	100	120	5	1100	0	0	0.15	0.04	0	0	0.5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Peito de Peru		100	135	0	30	1.5	0.4	0.4	0.5	0	0	0.06	0.12	9.5	0.8	0.8	6	1.4	0	0.1	0.15	0	0.1	65	300	12	28	210	1.8	1.1	0.05	0.05	0.3	0.06	0.01	28	80	0.04	0.4	300	200	25	8	1300	0	0	0.35	0.35	0	0	1	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Escargot		100	90	2	16.1	1.4	0.4	0.3	0.5	0	30	0.12	0.12	1.4	0.5	0.13	6	0.5	0	0	5	0.1	0	70	382	10	27	272	1	3.5	0.2	0.5	0.8	0.4	0.05	250	65	0.22	0.18	0	0	180	5	1100	0	0	0.25	0.15	0	0	0.3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coxa de Peru		100	159	0	27.5	4.8	1.6	1.4	1.5	0	5	0.07	0.2	5	0.9	0.4	10	1.7	0	0.1	0.2	0	0.2	75	290	14	31	218	3.5	1.9	0.05	0.05	0.3	0.1	0.01	25	78	0.08	1.3	280	120	60	6	1500	0	0	1.2	1.1	0	0	1.5	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alcachofra		100	53	11.5	3	0.2	0.05	0.01	0.08	5.4	1	0.05	0.08	1	0.35	0.11	68	0	7.4	0	0.2	14.8	0	94	285	44	0.2	73	0.4	0.6	0	0.02	0.05	0.12	0.23	42	34	0.01	0.06	0	0	0	3.5	70	0	0	0.01	0.05	0.45	0.05	0	0	0	4.5	0	0	0	0	0	0	35	15	0	0	0	0.1	0	10	0	0	0	0	0	0	0
Rúcula		100	25	3.7	2.6	0.7	0.1	0.05	0.35	1.6	119	0.04	0.09	0.3	0.4	0.07	97	0	15	0	0.43	109	0	27	369	160	0.3	52	0.5	1.5	0	0.05	0.05	0.08	0.32	47	15	0.17	0.13	0	0	0	2	50	0	0	0.04	0.12	3.5	0.1	0	0.5	0	7.2	0	0	0	0	0	0	2	1.5	0	0	0	0	0	300	0	0	0	0	12	3	0
Aspargos		100	22	4.1	2.4	0.2	0.05	0.01	0.1	2	50	0.16	0.13	1	0.22	0.08	149	0	7.7	0	1.5	50	0	14	224	23	6.1	54	0.6	0.9	0	0.02	0.05	0.16	0.2	14	25	0.01	0.05	0	0	0	25	60	0	0	0.01	0.04	0.7	0.05	0	0	0	1.2	0	0	0	0	0	0	4	2	0	0.1	0	0	0	30	0	0	0	0	0	0	0
Beterraba		100	44	10	1.7	0.2	0.03	0.01	0.06	2	2	0.03	0.04	0.3	0.15	0.07	80	0	3.6	0	0.04	0.2	0	74	305	16	0.7	38	0.35	0.79	0	0.05	0.05	0.07	0.3	23	6	0.01	0.05	0	0	0	3	50	0	0	0.01	0.05	0	0	0	0	0	0	0	0	0	0	0	0	1.5	2	0	0	0	0	0	150	0	0	0	0	0	0	0
Pimentão Vermelho		100	26	6	0.9	0.2	0.03	0.01	0.1	1.4	157	0.03	0.03	0.6	0.16	0.22	18	0	127	0	1.25	3	0	2	166	10	0.1	20	0.13	0.35	0	0.05	0.05	0.06	0.1	11	5.6	0.01	0.09	0	0	0	5	30	0	0	0.01	0.09	5.8	0.1	0	0	0	5.4	0	0	0	0	0	0	0.5	1.5	0	0	0	0.1	0	15	0	0	0	0	0	0	0
Couve chinesa		100	12	1.8	1.6	0.2	0.03	0.01	0.09	1	243	0.04	0.05	0.4	0.08	0.05	41	0	26	0	0.09	34	0	34	208	93	0.5	29	0.17	1.04	0	0.05	0.05	0.02	0.14	13	5	0.04	0.05	0	0	0	4	45	0	0	0.01	0.05	1.5	0	0	0.1	0	2.5	0	0	0	0	0	0	0.5	0.8	0	0	0	0	0	100	0	0	0	0	15	4	0
Brócolis		100	35	7	2.4	0.4	0.05	0.03	0.18	3.3	77	0.06	0.08	0.6	0.54	0.2	108	0	65	0	1.4	141	0	41	293	40	1.6	67	0.45	0.67	0	0.02	0.05	0.05	0.22	21	18.7	0.08	0.1	0	0	0	15	85	0	0	0.02	0.1	1.1	0.05	0.3	45	0	13.7	0	0	0	0	0	0	1.2	0.5	0	0.1	0	0	0	40	0	0	0	0	25	6	0
Couve de Bruxelas		100	36	7	2.6	0.5	0.08	0.03	0.24	2.6	38	0.11	0.11	0.6	0.3	0.22	60	0	62	0	0.43	140	0	21	317	36	0.9	56	0.33	1.2	0	0.02	0.05	0.06	0.25	20	19.1	0.11	0.13	0	0	0	10	90	0	0	0.02	0.13	1.3	0.05	0.2	15	0	5.5	0	0	0	0	0	0	1	0.6	0	0.2	0	0	0	50	0	0	0	0	35	9	0
Repolho		100	23	6	1.3	0.1	0.02	0.01	0.04	1.9	4	0.05	0.05	0.3	0.16	0.11	30	0	37	0	0.15	109	0	15	196	48	0.3	23	0.16	0.47	0	0.01	0.05	0.02	0.14	15	10.7	0.02	0.02	0	0	0	8	40	0	0	0.01	0.02	0.31	0	0.05	8	0	3.8	0	0	0	0	0	0	0.8	0.4	0	0.1	0	0	0	80	0	0	0	0	20	5	0
Cenoura		100	35	8.2	0.8	0.2	0.03	0.01	0.1	3	852	0.04	0.04	0.6	0.25	0.15	14	0	3.6	0	0.97	13	0	58	230	30	0.7	30	0.2	0.34	0	0.03	0.05	0.04	0.13	10	7.5	0.01	0.09	0	0	0	5	35	0	0	0.01	0.09	0.25	0.02	0.1	0	0	1.2	0	0	0	0	0	0	6.5	1.2	0	0.1	0	0	0	40	0	0	0	0	0	0	0
Couve flor		100	23	4.1	1.9	0.5	0.08	0.03	0.19	2.3	1	0.04	0.05	0.4	0.52	0.17	44	0	44	0	0.07	14	0	15	142	16	0.6	32	0.24	0.32	0	0.02	0.05	0.03	0.14	12	39.1	0.07	0.12	0	0	0	5	55	0	0	0.02	0.12	0.01	0	0.1	10	0	4.2	0	0	0	0	0	0	0.5	0.3	0	0	0	0	0	35	0	0	0	0	18	4.5	0
Pimenta Chili		100	40	8.8	1.9	0.4	0.04	0.02	0.24	1.5	48	0.07	0.09	1.2	0.2	0.51	23	0	144	0	0.69	14	0	9	322	14	0.5	43	0.3	1.03	0	0.05	0.05	0.13	0.19	23	11	0.01	0.23	0	0	0	3	40	0	0	0.01	0.23	0.7	0	0	0	0	15	0	0	0	0	0	0	1	2.5	0	0	0	0.5	0	20	80	0	0	0	0	0	0
Couve		100	28	5.6	1.9	0.4	0.05	0.03	0.17	2	500	0.05	0.07	0.5	0.05	0.14	13	0	41	0	0.85	418	0	23	170	72	0.9	28	0.24	0.9	0	0.03	0.05	0.15	0.41	18	0.4	0.11	0.06	0	0	0	15	70	0	0	0.02	0.06	18.2	1.2	0.1	12	0	7.5	0	0	0	0	0	0	1.5	3.5	0	0.2	0	0	0	120	0	0	0	0	30	8	0
Endívia		100	17	3.4	1.25	0.2	0.04	0.01	0.09	3.1	108	0.08	0.08	0.4	0.9	0.02	142	0	6.5	0	0.44	231	0	22	314	52	0.2	28	0.79	0.83	0	0.04	0.05	0.1	0.42	15	16.5	0.01	0.08	0	0	0	4	35	0	0	0.01	0.08	3.2	0.1	0	0	0	4.5	0	0	0	0	0	0	2.5	5	0	0	0	0.2	0	150	0	0	0	0	0	0	0
Alho		100	149	33	6.4	0.5	0.09	0.01	0.25	2.1	0	0.2	0.11	0.7	0.6	1.2	3	0	31.2	0	0.08	1.7	0	17	401	181	14.2	153	1.16	1.7	0	0.05	0.05	0.3	1.67	25	23.2	0.01	0.24	0	0	0	10	160	0	0	0.01	0.24	0	0	0.2	0	0	15	0	0	0	0	0	0	0.2	0.5	0	0.1	0	0	0	5	0	0	0	0	0	0	0
Jalapeno		100	29	6.5	0.9	0.4	0.05	0.02	0.17	2.8	47	0.04	0.04	1.3	0.31	0.42	27	0	118	0	0.69	18	0	3	248	12	0.4	26	0.25	0.25	0	0.03	0.05	0.05	0.1	15	7.5	0.01	0.16	0	0	0	3	32	0	0	0.02	0.16	1.2	0.05	0	0	0	12	0	0	0	0	0	0	0.5	1.5	0	0	0	0.2	0	20	25	0	0	0	0	0	0
Alface Romana		100	17	3.3	1.2	0.3	0.04	0.01	0.16	2.1	436	0.07	0.07	0.3	0.13	0.07	136	0	4	0	0.13	102	0	8	247	33	0.4	30	0.23	0.97	0	0.03	0.05	0.05	0.16	14	9.9	0.11	0.05	0	0	0	5	42	0	0	0.01	0.05	2.3	0.1	0	0	0	4.5	0	0	0	0	0	0	0.8	1.8	0	0	0	0.1	0	110	0	0	0	0	0	0	0
Folhas de Mostarda		100	26	4.5	2.7	0.3	0.03	0.01	0.14	3.2	480	0.07	0.08	0.5	0.15	0.15	9	0	25	0	1.5	419	0	17	168	118	0.9	42	0.25	1.2	0	0.03	0.05	0.1	0.35	22	1.5	0.08	0.06	0	0	0	12	75	0	0	0.01	0.06	14.6	0.9	0.1	10	0	6.8	0	0	0	0	0	0	0.6	1.2	0	0.1	0	0	0	140	0	0	0	0	22	5.5	0
Cebola		100	44	10	1.4	0.2	0.03	0.01	0.06	1.4	0	0.04	0.02	0.1	0.12	0.12	15	0	5.2	0	0.02	0.4	0	3	146	22	0.5	29	0.16	0.21	0	0.02	0.05	0.04	0.13	10	6.1	0.01	0.05	0	0	0	4	32	0	0	0.01	0.05	0	0	0.1	0	0	22	0	0	0	0	0	0	0.1	0.4	0	0.1	0	0	0	15	0	0	1.2	0	0	0	0
Ervilha		100	84	15.6	5.4	0.2	0.04	0.01	0.09	5.5	40	0.27	0.14	2.1	0.58	0.22	65	0	14.2	0	0.13	25	0	4	244	27	1.8	117	1.19	1.54	0	0.02	0.05	0.18	0.4	33	28	0.04	0.05	0	0	0	6	180	0	0	0.01	0.05	1.9	0.1	0.1	0	0	3.5	0	0	0	0	0.2	0	0.4	0.2	0	0.2	0	0	0	25	0	0	0	0	0	0	0
Batata Inglesa		100	86	20	1.7	0.1	0.03	0.01	0.04	1.8	0	0.08	0.03	1.4	0.35	0.3	10	0	13	0	0.01	2	0	4	379	8	0.4	44	0.3	0.31	0	0.05	0.05	0.11	0.14	22	14.7	0.01	0.03	0	0	0	3	45	0	0	0.01	0.03	0.05	0	0.05	0	0	1	0	0	0	0	0	0	4.5	1	0	0	0	0	0	20	0	0	0	0	0	0	0
Rabanete		100	16	3.4	0.7	0.1	0.01	0.01	0.05	1.6	0	0.01	0.04	0.3	0.17	0.07	25	0	14.8	0	0	1.3	0	39	233	25	0.6	20	0.28	0.34	0	0.02	0.05	0.02	0.07	10	6.5	0.01	0.04	0	0	0	2	30	0	0	0.01	0.04	0.01	0	0	3	0	1.5	0	0	0	8.5	0	0	0.4	0.6	0	0	0	0	0	180	0	0	0	0	10	2.5	0
Espinafre		100	23	3.8	3	0.3	0.05	0.01	0.14	2.4	524	0.1	0.24	0.5	0.15	0.24	146	0	9.8	0	2.1	494	0	70	466	136	1.5	51	0.76	3.57	0	0.04	0.05	0.17	0.94	87	19.3	0.05	0.09	0	0	0	15	110	0	0	0.01	0.09	12.2	0.8	0.3	0	0	12.6	0	0	0	0	0	0	0.8	1.5	0	0.1	0	0.1	0	300	0	0	0	0	0	0	0
Batata Doce		100	90	20.7	2	0.2	0.05	0.01	0.09	3.3	961	0.08	0.06	0.6	0.8	0.29	6	0	19.6	0	0.26	2.3	0	36	475	38	0.2	54	0.32	0.69	0	0.04	0.05	0.16	0.26	27	12.3	0.01	0.08	0	0	0	4	52	0	0	0.01	0.08	0	0	0.1	0	0	1.5	0	0	0	0	0	0	3.5	1.2	0	0	0	0	0	25	0	0	0	0	0	0	0
Batata Roxa		100	87	20	2	0.1	0.03	0.01	0.04	2	0	0.08	0.03	1.4	0.35	0.3	10	0	13	0	0.01	2	0	4	379	8	0.4	44	0.3	0.31	0	0.05	0.05	0.11	0.14	22	14.7	0.01	0.03	0	0	0	3	45	0	0	0.01	0.03	0	0	0.05	0	0	1	0	0	0	65	0	0	4.2	1.8	0	0	0	0	0	25	0	0	0	0	0	0	0
Agrião		100	11	1.3	2.3	0.1	0.02	0.01	0.06	0.5	160	0.09	0.12	0.2	0.31	0.13	9	0	43	0	1	250	0	41	330	120	0.9	60	0.11	0.2	0	0.02	0.05	0.08	0.24	21	9	0.03	0.03	0	0	0	5	60	0	0	0.01	0.03	5.8	0.4	0	10	0	4.5	0	0	0	0	0	0	0.5	1	0	0	0	0	0	250	0	0	0	0	14	3.5	0
Broto de alfafa		100	23	2.1	4	0.7	0.08	0.08	0.41	1.9	8	0.08	0.13	0.5	0.56	0.03	36	0	8.2	0	0.02	30.5	0	6	79	32	0.6	70	0.92	0.96	0	0.02	0.05	0.16	0.19	27	14.4	0.17	0.24	0	0	0	3	65	0	0	0.08	0.24	0.35	0	0	0	0	2	0	0	0	0	0.5	0	0.2	0.1	0	0.3	0	0.1	0	15	0	0	0	0	0	0	0
Araruta		100	65	13.4	4.2	0.1	0.02	0.01	0.05	1.3	0	0.14	0.06	1.7	0.88	0.27	338	0	1.9	0	0.01	0.2	0	26	454	26	0.7	99	0.43	2.22	0	0.02	0.05	0.12	0.15	25	12	0.01	0.04	0	0	0	2	55	0	0	0.01	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0.1	0	0	0	0	0	10	0	0	0	0	0	0	0
Broto de Feijão		100	30	6	2	0.2	0.04	0.02	0.08	1.8	1	0.05	0.1	0.8	0.28	0.05	29	0	8.3	0	0.09	22.1	0	6	101	13	0.6	36	0.41	0.65	0	0.02	0.05	0.1	0.14	14	12.4	0.03	0.05	0	0	0	3	50	0	0	0.02	0.05	0.2	0	0	0	0	1	0	0	0	0	0.4	0	0.3	0.2	0	0.1	0	0	0	20	0	0	0	0	0	0	0
Folhas de Beterraba		100	22	4.3	2.2	0.2	0.03	0.01	0.09	2.9	316	0.09	0.18	0.4	0.21	0.1	15	0	18	0	1.5	484	0	76	462	114	0.9	38	0.35	1.9	0	0.03	0.05	0.11	0.35	70	1.5	0.03	0.06	0	0	0	12	75	0	0	0.01	0.06	15	0.8	0.1	0	0	6.8	0	0	0	0	0	0	1.2	2.5	0	0.1	0	0	0	350	0	0	0	0	0	0	0
Folhas de dente-de-leão		100	33	6.4	2	0.6	0.1	0.01	0.2	3	508	0.17	0.14	0.8	0.08	0.18	13	0	18	0	1.9	578	0	36	244	140	0.4	42	0.28	2	0	0.04	0.05	0.12	0.23	30	10.4	0.05	0.15	0	0	0	8	42	0	0	0.01	0.15	13.6	0.7	0	0	0	4.5	0	0	0	0	0	0	1	0.5	0	0	0	0.2	0	150	0	0	0	0	0	0	0
Gengibre		100	80	18	1.8	0.8	0.2	0.15	0.15	2	0	0.03	0.03	0.7	0.2	0.16	11	0	5	0	0.26	0.1	0	13	415	16	0.7	34	0.34	0.6	0	0.02	0.05	0.23	0.23	43	28.8	0.03	0.12	0	0	0	4	52	0	0	0.15	0.12	0	0	0.1	0	0	1	0	0	0	0	0	0	0.5	0.8	0	0	0	0	0	10	0	0	0	0	0	0	0
Cebolinha		100	30	7.3	1.8	0.2	0.03	0.01	0.11	2.6	116	0.07	0.08	0.4	0.13	0.06	64	0	18.8	0	0.21	167	0	3	276	52	0.6	37	0.21	1.2	0	0.02	0.05	0.06	0.13	13	4.2	0.01	0.1	0	0	0	3	38	0	0	0.01	0.1	1.1	0	0	0	0	12	0	0	0	0	0	0	0.2	0.3	0	0	0	2.5	0	60	0	0	0	0	0	0	0
Palmito		100	28	4.6	2.5	0.6	0.13	0.12	0.21	2.4	3	0.05	0.06	0.9	0.2	0.02	24	0	8	0	0.5	0	0	14	178	58	0.7	65	1.15	1.7	0	0.02	0.05	0.12	0.13	38	14	0.01	0.2	0	0	0	2	48	0	0	12	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.1	0	0	0	0	0	10	0	0	0	0	0	0	0
Radicchio		100	23	4.5	1.4	0.2	0.03	0.01	0.09	0.9	2	0.02	0.03	0.3	0.13	0.04	60	0	8	0	0.11	212	0	22	302	19	0.3	40	0.62	0.57	0	0.04	0.05	0.34	0.14	13	12	0.01	0.08	0	0	0	2	40	0	0	0.01	0.08	3.5	0.1	0	0	0	4.5	0	0	0	25	0	0	1.2	0.5	0	0	0	0	0	80	0	0	0	0	0	0	0
Repolho Roxo		100	29	7	1.5	0.1	0.02	0.01	0.04	2.5	2	0.06	0.06	0.4	0.18	0.12	24	0	57	0	0.11	90	0	12	243	45	0.6	30	0.22	0.66	0	0.01	0.05	0.03	0.16	16	11.2	0.02	0.02	0	0	0	8	42	0	0	0.01	0.02	0.35	0	0.05	6	0	4.2	0	0	0	120	0	0	0.8	0.4	0	0	0	0	0	70	0	0	0	0	20	5	0
Cebola Roxa		100	40	9.3	1.1	0.1	0.04	0.01	0.05	1.7	0	0.04	0.02	0.1	0.12	0.12	15	0	7.4	0	0.02	0.4	0	4	146	23	0.5	29	0.17	0.21	0	0.02	0.05	0.04	0.14	10	6.1	0.01	0.05	0	0	0	4	35	0	0	0.01	0.05	0	0	0.1	0	0	18	0	0	0	35	0	0	0.1	0.4	0	0.1	0	0.1	0	15	0	0	0	0	0	0	0
Chalota		100	72	16.8	2.5	0.1	0.04	0.01	0.05	3.2	0	0.06	0.02	0.2	0.29	0.34	34	0	8	0	0.04	0.8	0	12	334	37	0.7	60	0.4	1.2	0	0.02	0.05	0.09	0.29	21	12.4	0.01	0.04	0	0	0	5	52	0	0	0.01	0.04	0	0	0.2	0	0	25	0	0	0	5	0	0	0.2	0.4	0	0.1	0	0.1	0	15	0	0	0	0	0	0	0
