Nome	Categoria	Porção Média	Calorias	Carboidratos	Proteína	Gordura	Saturada	MUF	PUF	Fibra	A	B1	B2	B3	B5	B6	B9	B12	C	D	E	K	K2	Sódio	Potássio	Cálcio	Selenio	Fósforo	Zinco	Ferro	Mercurio	Cádmio	Chumbo	Cobre	Manganês	Magnésio	Choline	Omega 	Omega 	Creatina	Carnosina	Taurina	Glutathione	Glycine	Astaxanthin	Licopeno	Oleic Acid	Linoleic Acid	Lutein	Zeaxantina	Coenzima Q10	Sulforafano	Resveratrol	Quercetina	Curcumina	L-Teanina	Carnitina	Antocianinas	Isoflavonas	Catequinas	Ácido clorogenico	Ácido cafeico	Outros estilbenos	Lignanas	Fisetina	Apigenina	Ácido Elágico	Nitratos Naturais	Capsaicina	Hesperidina	Naringenina	Ácido Ursólico	Indol-3-Carbinol	DIM	Beta-Glucanas
Acelga		100	20	4.1	1.9	0.2	0.03	0.01	0.09	2.1	306	0.04	0.09	0.4	0.16	0.1	14	0	18	0	1.89	327	0	213	379	51	0.9	46	0.33	2.26	0	0.04	0.05	0.13	0.34	86	18	0.03	0.06	0	0	0	12	65	0	0	0.01	0.06	11	0.7	0.1	0	0	5.5	0	0	0	0	0	0	0.5	0.5	0	0	0	0.1	0	180	0	0	0	0	0	0	0
Folha de Nabo		100	27	4.4	2.4	0.3	0.05	0.01	0.15	3.5	381	0.07	0.1	0.6	0.38	0.18	194	0	27	0	1.88	368	0	29	296	137	0.7	41	0.19	1.1	0	0.03	0.05	0.08	0.47	42	1.5	0.08	0.07	0	0	0	10	75	0	0	0.01	0.07	12.8	0.8	0.1	15	0	3.5	0	0	0	0	0	0	0.4	0.6	0	0	0	0	0	120	0	0	0	0	25	6	0
Espinafre d'água		100	19	3.1	2	0.2	0.04	0.01	0.09	2.1	315	0.07	0.1	0.7	0.22	0.1	57	0	31	0	0.5	210	0	42	312	77	0.9	38	0.5	1.7	0	0.04	0.05	0.1	0.4	35	15	0.04	0.05	0	0	0	6	55	0	0	0.01	0.05	8.5	0.3	0	0	0	2	0	0	0	0	0	0	0.5	0.8	0	0	0	0	0	200	0	0	0	0	0	0	0
Abacate		100	160	8.5	2	15	2.1	9.8	1.8	6.7	7	0.07	0.13	1.7	1.4	0.26	81	0	10	0	2.07	21	0	7	485	12	0.4	52	0.64	0.55	0	0.02	0.05	0.19	0.14	29	14.2	0.11	1.7	0	0	0	3	45	0	0	9.5	1.7	0.27	0.03	9.5	0	0	5	0	0	0	0	0	0	0.2	0.1	0	0	0	0	0	10	0	0	0	0	0	0	0
Banana		100	89	22.8	1.1	0.3	0.1	0.03	0.07	2.6	3	0.03	0.07	0.7	0.33	0.37	20	0	8.7	0	0.1	0.5	0	1	358	5	1	22	0.15	0.26	0	0.01	0.05	0.08	0.27	27	9.8	0.03	0.05	0	0	0	1	25	0	0	0.03	0.05	0.03	0.01	0.1	0	0	0.5	0	0	0	0	0	0	0.5	0.2	0	0	0	0	0	5	0	0	0	0	0	0	0
Amora		100	43	9.6	1.4	0.5	0.03	0.05	0.37	5.3	1	0.03	0.04	0.6	0.28	0.03	25	0	21	0	0.87	7.8	0	1	162	29	0.2	22	0.53	0.62	0	0.02	0.05	0.06	0.65	20	12.3	0.11	0.26	0	0	0	3	42	0	0	0.05	0.26	0.12	0	0	0	0	3.2	0	0	0	150	0	15	1.2	0.5	0	0	0	0	40	10	0	0	0	0	0	0	0
Mirtilo		100	57	14.5	0.7	0.3	0.03	0.05	0.15	2.4	3	0.04	0.04	0.4	0.12	0.05	6	0	9.7	0	0.57	19.3	0	1	77	6	0.1	12	0.16	0.28	0	0.02	0.05	0.06	0.34	6	6	0.06	0.09	0	0	0	2	25	0	0	0.05	0.09	0.08	0	0.1	0	0.3	2.4	0	0	0	250	0	10	4.5	0.8	0	0	0	0	5	5	0	0	0	0	0	0	0
Melão		100	34	8.2	0.8	0.2	0.05	0.01	0.08	0.9	169	0.04	0.02	0.7	0.13	0.07	21	0	36.7	0	0.05	2.5	0	16	267	9	0.4	15	0.18	0.21	0	0.02	0.05	0.04	0.04	12	7.6	0.04	0.05	0	0	0	1	15	0	0	0.01	0.05	0.03	0.01	0	0	0	0	0	0	0	0	0	0	0.1	0.1	0	0	0	0	0	15	0	0	0	0	0	0	0
Cereja		100	50	12	1	0.3	0.04	0.05	0.06	1.6	3	0.03	0.03	0.4	0.14	0.05	4	0	7	0	0.07	2.1	0	0	222	13	0	21	0.1	0.36	0	0.02	0.05	0.06	0.05	11	6.1	0.05	0.04	0	0	0	2	22	0	0	0.05	0.04	0.09	0	0.1	0	0	1.5	0	0	0	60	0	5	1.5	0.3	0	0	0	0	2	10	0	0	0	0	0	0	0
Coco		100	354	15.2	3.3	33.5	29.7	1.4	0.4	9	0	0.07	0.02	0.5	0.3	0.05	26	0	3.3	0	0.24	0.2	0	20	356	14	10.1	113	1.1	2.43	0	0.04	0.05	0.44	1.5	32	12.1	0.01	0.36	0	0	0	1	160	0	0	1.35	0.36	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oxicoco		100	46	12.2	0.4	0.1	0.01	0.02	0.06	4.6	3	0.01	0.02	0.1	0.3	0.06	1	0	13.3	0	1.2	5.1	0	2	85	8	0.1	13	0.1	0.25	0	0.02	0.05	0.06	0.36	6	5.5	0.02	0.04	0	0	0	1	12	0	0	0.02	0.04	0.09	0	0	0	0	3.5	0	0	0	100	0	20	0.8	0.4	0	0	0	0	12	5	0	0	0	0	0	0	0
Uva		100	69	18.1	0.7	0.2	0.05	0.01	0.07	0.9	3	0.07	0.07	0.2	0.05	0.09	2	0	3.2	0	0.19	14.6	0	2	191	10	0.1	20	0.07	0.36	0	0.02	0.05	0.13	0.07	7	5.6	0.01	0.05	0	0	0	2	18	0	0	0.01	0.05	0.07	0	0.1	0	0.8	1.2	0	0	0	80	0	12	0.5	0.2	0.5	0	0	0	0	10	0	0	0	0	0	0	0
Toranja		100	32	8.1	0.6	0.1	0.01	0.01	0.03	1.1	46	0.04	0.03	0.2	0.28	0.05	13	0	31.2	0	0.13	0	0	0	135	12	0.1	8	0.07	0.08	0	0.02	0.05	0.03	0.02	9	7.7	0.01	0.02	0	0	0	1	12	0	1.4	0.01	0.02	0.01	0	0	0	0	0	0	0	0	0	0	0	6.5	1.5	0	0	0	0	0	15	0	0	45	0	0	0	0
Goiaba		100	68	14.3	2.6	1	0.27	0.09	0.4	5.4	31	0.05	0.04	1.1	0.45	0.11	49	0	228	0	0.73	2.6	0	2	417	18	0.6	40	0.23	0.26	0	0.03	0.05	0.23	0.15	22	7.6	0.05	0.35	0	0	0	4	50	0	5.2	0.09	0.35	0.52	0	0.1	0	0	2	0	0	0	0	0	0	1.2	0.5	0	0	0	0	2	10	0	0	0	0	0	0	0
Kiwi		100	61	14.7	1.1	0.5	0.03	0.05	0.29	3	4	0.03	0.03	0.3	0.18	0.06	25	0	92.7	0	1.46	40.3	0	3	312	34	0.2	34	0.14	0.31	0	0.02	0.05	0.13	0.1	17	7.8	0.04	0.25	0	0	0	3	41	0	0	0.05	0.25	0.12	0.01	0.1	0	0	1	0	0	0	0	0	0	1.5	0.4	0	0	0	0	0	10	0	0	0	0	0	0	0
Limão		100	29	9.3	1.1	0.3	0.04	0.01	0.09	2.8	1	0.04	0.02	0.2	0.19	0.05	11	0	53	0	0.15	0	0	2	138	26	0.4	16	0.06	0.6	0	0.02	0.05	0.04	0.03	8	5.1	0.03	0.06	0	0	0	2	15	0	0	0.01	0.06	0.01	0	0	0	0	2.5	0	0	0	0	0	0	0.5	0.2	0	0	0	0	0	10	0	35	2	0	0	0	0
Manga		100	60	15	0.8	0.4	0.1	0.1	0.07	1.6	54	0.03	0.04	0.7	0.2	0.12	43	0	36.4	0	0.9	4.2	0	1	168	11	0.6	14	0.09	0.16	0	0.03	0.05	0.11	0.06	10	7.6	0.04	0.04	0	0	0	3	34	0	0	1	0.04	0.05	0.01	0	0	0	1	0	0	0	0	0	0	0.6	0.3	0	0	0	0	0	15	0	0	0	0	0	0	0
Laranja		100	47	11.8	0.9	0.1	0.02	0.02	0.03	2.4	11	0.09	0.04	0.4	0.25	0.06	30	0	53.2	0	0.18	0	0	0	181	40	0.5	14	0.07	0.1	0	0.02	0.05	0.05	0.03	10	8.4	0.01	0.03	0	0	0	2	24	0	0	0.02	0.03	0.13	0.03	0	0	0	1.5	0	0	0	0	0	0	0.8	0.4	0	0	0	0	0	15	0	50	1.5	0	0	0	0
Mamão		100	43	10.8	0.5	0.3	0.08	0.08	0.06	1.7	47	0.02	0.03	0.4	0.22	0.04	38	0	60.9	0	0.3	2.6	0	8	182	20	0.6	10	0.08	0.25	0	0.03	0.05	0.05	0.04	21	6.1	0.02	0.04	0	0	0	3	15	0	1.8	0.08	0.04	0.09	0.05	0	0	0	0	0	0	0	0	0	0	0.2	0.1	0	0	0	0	0	10	0	0	0	0	0	0	0
Abacaxi		100	50	13.1	0.5	0.1	0.01	0.01	0.04	1.4	3	0.08	0.03	0.5	0.21	0.11	18	0	47.8	0	0.02	0.7	0	1	109	13	0.1	8	0.12	0.29	0	0.02	0.05	0.11	0.93	12	5.5	0.02	0.02	0	0	0	2	18	0	0	0.01	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0.5	0	0	0	0	0	10	0	0	0	0	0	0	0
Ameixa		100	46	11.4	0.7	0.3	0.02	0.13	0.04	1.4	17	0.03	0.03	0.4	0.14	0.03	5	0	9.5	0	0.26	6.4	0	0	157	6	0	16	0.1	0.17	0	0.02	0.05	0.06	0.01	7	5.6	0.01	0.04	0	0	0	2	22	0	0	0.13	0.04	0.07	0	0	0	0	1.2	0	0	0	40	0	3	8.5	1.2	0	0	0	0	0	10	0	0	0	0	0	0	0
Romã		100	83	18.7	1.7	1.2	0.12	0.09	0.08	4	0	0.07	0.05	0.3	0.38	0.08	38	0	10.2	0	0.6	16.4	0	3	236	10	0.5	36	0.35	0.3	0	0.02	0.05	0.16	0.12	12	7.6	0.01	0.08	0	0	0	2	44	0	0	0.09	0.08	0	0	0	0	0	1.8	0	0	0	45	0	12	1	0.5	0	0	0	0	120	15	0	0	0	0	0	0	0
Abóbora		100	26	6.5	1	0.1	0.02	0.01	0.03	0.5	288	0.03	0.08	0.4	0.17	0.05	9	0	4.7	0	0.44	0.8	0	1	230	15	0.4	21	0.23	0.35	0	0.02	0.05	0.06	0.08	9	6.2	0.01	0.02	0	0	0	4	30	0	0	0.01	0.02	1.5	0.05	0	0	0	0	0	0	0	0	0	0	0.5	0.3	0	0	0	0	0	20	0	0	0	0	0	0	0
Framboesa		100	52	11.9	1.2	0.7	0.02	0.06	0.46	6.5	2	0.03	0.04	0.6	0.33	0.06	21	0	26.2	0	0.87	7.8	0	1	151	25	0.2	29	0.42	0.69	0	0.02	0.05	0.09	0.67	22	12.3	0.13	0.46	0	0	0	4	44	0	0	0.06	0.46	0.14	0	0	0	0	2.8	0	0	0	60	0	5	1.2	0.4	0	0	0	0	45	10	0	0	0	0	0	0	0
Morango		100	32	7.7	0.7	0.3	0.02	0.04	0.16	2	1	0.02	0.02	0.4	0.13	0.05	24	0	58.8	0	0.29	2.2	0	1	153	16	0.4	24	0.14	0.41	0	0.02	0.05	0.05	0.39	13	5.7	0.07	0.09	0	0	0	3	32	0	0	0.04	0.09	0.03	0	0	0	0.1	2.5	0	0	0	45	0	4	1.5	0.6	0	0	18	0	25	10	0	0	0	0	0	0	0
Tangerina		100	53	13.3	0.8	0.3	0.04	0.06	0.05	1.8	34	0.06	0.04	0.4	0.22	0.08	16	0	26.7	0	0.2	0	0	2	166	37	0.1	12	0.07	0.15	0	0.02	0.05	0.04	0.04	12	10.2	0.01	0.04	0	0	0	2	22	0	0	0.06	0.04	0.13	0.05	0	0	0	1.2	0	0	0	0	0	0	0.4	0.2	0	0	0	0	0	10	0	30	3.5	0	0	0	0
Tomate		100	18	3.9	0.9	0.2	0.03	0.03	0.09	1.2	42	0.04	0.02	0.6	0.25	0.08	15	0	13.7	0	0.54	7.9	0	5	237	10	0.4	24	0.17	0.27	0	0.03	0.05	0.06	0.11	11	6.7	0.01	0.08	0	0	0	3	28	0	2.6	0.03	0.08	0.13	0.01	0.1	0	0	3.5	0	0	0	0	0	0	3.2	1.5	0	0	0	0.1	0	15	0	0	0	0	0	0	0
Melancia		100	30	7.6	0.6	0.1	0.02	0.04	0.05	0.4	28	0.03	0.02	0.2	0.22	0.05	3	0	8.1	0	0.05	0.1	0	1	112	7	0.4	11	0.1	0.24	0	0.03	0.05	0.04	0.04	10	4.1	0.01	0.05	0	0	0	2	14	0	4.5	0.04	0.05	0.01	0	0.1	0	0	0	0	0	0	0	0	0	0.1	0.1	0	0	0	0	0	15	0	0	0	0	0	0	0
Acerola		100	32	7.7	0.4	0.3	0.02	0.04	0.16	1.1	38	0.02	0.06	0.4	0.22	0.05	24	0	1677	0	0.29	2.2	0	1	153	16	0.4	24	0.14	0.41	0	0.02	0.05	0.05	0.39	13	5.7	0.07	0.09	0	0	0	3	32	0	0	0.04	0.09	0.03	0	0	0	0	0.1	0	0	0	15	0	2	3.5	1	0	0	0	0	1.5	10	0	0	0	0	0	0	0
Groselha Preta		100	63	15.4	1.4	0.4	0.03	0.05	0.37	6.8	1	0.03	0.04	0.6	0.28	0.03	25	0	181	0	0.87	7.8	0	1	162	29	0.2	22	0.53	0.62	0	0.02	0.05	0.06	0.65	20	12.3	0.11	0.26	0	0	0	3	42	0	0	0.05	0.26	0.12	0	0	0	0	0	0	0	0	300	0	15	5	2.2	0	0	0	0	8	10	0	0	0	0	0	0	0
Azeitona preta		100	115	6.3	0.8	10.7	1.3	7.9	0.9	3.2	7	0.03	0.03	0.2	0.1	0.02	3	0	0	0	1.7	0.5	0	735	8	8	0.4	4	0.22	3.3	0	0.02	0.05	0.25	0.02	4	12	0.04	0.85	0	0	0	1	15	0	0	7.5	0.85	0.1	0	0.1	0	0	1.5	0	0	0	15	0	2	0.5	0.5	0	0	0	0	0	5	0	0	0	0	0	0	0
Jujube		100	79	20.2	1.2	0.2	0.04	0.05	0.11	1.5	3	0.04	0.04	0.5	0.2	0.05	12	0	69	0	0.1	1.5	0	3	250	21	0.1	23	0.1	0.5	0	0.02	0.05	0.05	0.05	10	6.5	0.02	0.09	0	0	0	2	22	0	0	0.05	0.09	0	0	0	0	0	1.2	0	0	0	0	0	0	1.2	0.6	0	0	0	0	0	10	0	0	0	0	0	0	0
Kinkan		100	71	15.9	1.9	0.9	0.1	0.15	0.45	6.5	15	0.04	0.09	0.5	0.25	0.1	16	0	44	0	0.15	0	0	1	186	62	0.3	20	0.17	0.4	0	0.02	0.05	0.1	0.14	20	12	0.04	0.4	0	0	0	1	28	0	0	0.12	0.4	0.25	0.1	0	0	0	0	0	0	0	0	0	0	0.8	0.5	0	0	0	0	0	10	0	45	4	0	0	0	0
Lingonberry		100	46	11.5	0.7	0.5	0.03	0.25	0.15	2.5	3	0.03	0.02	0.2	0.15	0.05	2	0	11	0	1.2	5.1	0	2	85	8	0.1	13	0.1	0.25	0	0.02	0.05	0.06	0.36	6	5.5	0.02	0.13	0	0	0	1	12	0	0	0.21	0.13	0.09	0	0	0	0.2	1.5	0	0	0	150	0	18	2.5	1.1	0	0	0	0	15	8	0	0	0	0	0	0	0
Lichia		100	66	16.5	0.8	0.4	0.1	0.1	0.1	1.3	0	0.01	0.07	0.6	0.14	0.01	7	0	71.5	0	0.07	0.4	0	1	171	5	0.6	31	0.07	0.31	0	0.02	0.05	0.15	0.05	10	7.6	0.02	0.07	0	0	0	2	18	0	0	0.07	0.07	0	0	0	0	0	0	0	0	0	0	0	15	0.4	0.2	0	0	0	0	0	10	0	0	0	0	0	0	0
Maracujá		100	97	23.4	2.2	0.7	0.1	0.1	0.4	10.4	64	0	0.13	3	0.2	0.1	14	0	30	0	0.02	0.7	0	28	348	12	0.6	68	0.1	1.6	0	0.03	0.05	0.1	0.1	29	7.6	0.01	0.4	0	0	0	3	41	0	0	0.08	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0.4	0	0	0	0	0	12	0	0	0	0	0	0	0
Pomelo		100	38	9.6	0.8	0.04	0.01	0.01	0.02	1	0	0.03	0.03	0.2	0.15	0.03	10	0	61	0	0.11	0	0	1	216	4	0.1	17	0.08	0.11	0	0.02	0.05	0.03	0.02	6	6	0.01	0.02	0	0	0	1	12	0	0	0.01	0.02	0.01	0	0	0	0	0	0	0	0	0	0	0	4.5	1.2	0	0	0	0	0	15	0	0	35	0	0	0	0
Figo da Índia		100	41	9.6	0.7	0.5	0.05	0.25	0.1	3.6	3	0.01	0.05	0.4	0.2	0.05	6	0	14	0	0.05	1.2	0	5	220	56	0.6	24	0.12	0.3	0	0.02	0.05	0.08	0.12	85	6	0.01	0.2	0	0	0	2	15	0	0	0.22	0.2	0.05	0	0	0	0	1.2	0	0	0	5	0	0	0.3	0.2	0	0	0	0	0	15	0	0	0	0	0	0	0
Rambutan		100	68	16	0.9	0.2	0.02	0.06	0.08	0.9	0	0.01	0.02	1.3	0.2	0.02	8	0	4.9	0	0.05	0.2	0	11	140	22	0.5	9	0.08	0.35	0	0.02	0.05	0.06	0.3	7	6.5	0.01	0.07	0	0	0	1	16	0	0	0.06	0.07	0	0	0	0	0	0	0	0	0	0	0	10	0.3	0.2	0	0	0	0	0	10	0	0	0	0	0	0	0
Groselha Vermelha		100	56	13.8	1.4	0.2	0.02	0.04	0.12	4.3	2	0.04	0.05	0.5	0.25	0.05	16	0	41	0	0.1	1.5	0	1	275	33	0.3	24	0.23	0.8	0	0.02	0.05	0.07	0.15	13	7.6	0.04	0.11	0	0	0	3	38	0	0	0.04	0.11	0.1	0	0	0	0	0	0	0	0	60	0	8	2.2	0.8	0	0	0	0	4	10	0	0	0	0	0	0	0
Rosa Mosqueta		100	162	38.2	1.6	0.3	0.03	0.05	0.18	24	217	0.02	0.15	1.3	0.8	0.15	25	0	426	0	5.84	25.9	0	4	429	169	0.5	61	0.25	1	0	0.03	0.05	0.11	0.5	69	14	0.03	0.15	0	0	0	5	115	0	0	0.05	0.15	2.4	0	0	0	0	1.5	0	0	0	10	0	25	8.5	4	0	0	0	0	5	15	0	0	0	0	0	0	0
Carambola		100	31	6.7	1	0.3	0.03	0.04	0.16	2.8	3	0.01	0.02	0.3	0.15	0.02	12	0	34.4	0	0.15	0	0	2	133	3	0.6	12	0.12	0.08	0	0.02	0.05	0.13	0.04	10	7.6	0.03	0.13	0	0	0	2	24	0	0	0.04	0.13	0.05	0	0	0	0	1.5	0	0	0	0	0	0	0.4	0.3	0	0	0	0.1	0	10	0	0	0	0	0	0	0
Tamarindo		100	239	62.5	2.8	0.6	0.27	0.18	0.07	5.1	2	0.43	0.15	1.9	0.94	0.07	14	0	3.5	0	0.1	2.8	0	28	628	74	1.3	113	0.12	2.8	0	0.03	0.05	0.08	0.86	92	8.4	0.01	0.06	0	0	0	4	65	0	0	0.18	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.2	0	0	0	0	0	12	0	0	0	0	0	0	0
Tomatillo		100	32	5.8	1	1	0.12	0.48	0.34	1.9	6	0.04	0.04	1.8	0.18	0.05	7	0	11.7	0	1.14	10.1	0	1	268	7	0.5	39	0.22	0.62	0	0.03	0.05	0.19	0.15	20	7.5	0.03	0.3	0	0	0	2	30	0	0	0.45	0.3	0.15	0	0	0	0	0	0	0	0	0	0	0	1.8	0.8	0	0	0	0	0	15	0	0	0	0	0	0	0
Amêndoa		100	579	21.6	21.2	49.9	3.8	31.5	12.3	12.5	0	0.21	0.4	3.6	0.47	0.14	44	0	0	0	25.6	0	0	1	733	269	4.1	481	3.1	3.7	0	0.03	0.05	1	2.2	270	52	0.01	12.1	0	0	0	15	450	0	0	30.5	12.1	0.1	0	0.1	0	0	25	0	0	0	0	0	1.5	0.5	0.2	0	0.3	0	0	0	10	0	0	0	0	0	0	0
Castanha do Pará		100	659	12.3	14.3	67.1	16.1	23.8	24.3	7.5	0	0.62	0.05	0.3	0.18	0.1	22	0	0	0	5.5	0	0	3	597	160	1917	725	4.1	2.4	0	0.03	0.05	1.3	1.2	376	55	0.02	24.1	0	0	0	12	650	0	0	23.5	24.1	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.1	0	0.2	0	0	0	5	0	0	0	0	0	0	0
Castanha de Caju		100	553	30.2	18.2	43.8	7.8	23.8	7.8	3.3	0	0.42	0.06	1	0.86	0.42	25	0	0	0	0.9	0	0	12	660	37	19.9	593	5.8	6.7	0	0.03	0.05	2.2	1.6	292	61	0.03	7.7	0	0	0	10	480	0	0	23.5	7.7	0.1	0	0.1	0	0	15	0	0	0	0	0	0.5	0.2	0.1	0	0.1	0	0	0	8	0	0	0	0	0	0	0
Avelã		100	628	16.7	15	60.8	4.5	45.7	7.9	9.7	2	0.64	0.11	1.8	0.92	0.56	113	0	6.3	0	15	14.2	0	0	680	114	2.4	290	2.5	4.7	0	0.02	0.05	1.7	6.2	163	45	0.04	7.8	0	0	0	12	380	0	0	45.5	7.8	0.2	0	0.2	0	0	12	0	0	0	0	0	5	0.4	0.2	0	0.2	0	0	0	7	0	0	0	0	0	0	0
Macadâmia		100	718	13.8	7.9	75.8	12.1	58.9	1.5	8.6	0	0.12	0.16	2.5	0.76	0.28	11	0	1.2	0	0.54	0	0	5	368	85	3.6	188	1.3	3.7	0	0.03	0.05	0.76	4.1	130	42	0.2	1.3	0	0	0	5	150	0	0	53.8	1.3	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.1	0	0.1	0	0	0	5	0	0	0	0	0	0	0
Amendoim		100	567	16.1	25.8	49.2	6.3	24.4	15.6	8.5	0	0.64	0.14	12.1	1.8	0.35	240	0	0	0	4.9	0	0	18	705	92	7.2	376	3.3	4.6	0	0.04	0.05	1.1	1.9	168	52	0	15.5	0	0	0	15	1400	0	0	24.2	15.5	0	0	0.1	0	0.1	2	0	0	0	0	0	0.8	0.2	0.1	0	0.3	0	0	0	12	0	0	0	0	0	0	0
Pecan		100	691	13.9	9.2	72	6.2	40.8	21.6	9.6	3	0.66	0.13	1.2	0.86	0.21	22	0	1.1	0	3.6	3.5	0	0	410	70	3.8	277	4.5	2.5	0	0.03	0.05	1.2	4.5	121	40	0.6	20.6	0	0	0	6	350	0	0	40.5	20.6	0	0	0	0	0	0	0	0	0	0	0	10	0.8	0.4	0	0.4	0	0	45	10	0	0	0	0	0	0	0
Pinoli		100	673	13.1	13.7	68.4	4.9	18.7	34.1	3.7	1	0.36	0.23	4.4	0.31	0.11	34	0	0.8	0	9.3	53.9	0	2	597	16	0.7	575	6.4	5.5	0	0.03	0.05	1.3	8.8	251	55	0.16	33.5	0	0	0	8	420	0	0	18.5	33.5	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.1	0	0.1	0	0	0	5	0	0	0	0	0	0	0
Pistachios		100	562	27.5	20.3	45.3	5.9	23.3	14.4	10.6	26	0.87	0.16	1.3	0.52	0.52	51	0	5.6	0	2.3	13.2	0	1	1025	105	7	490	2.2	3.9	0	0.02	0.05	1.3	1.2	121	50	0.3	13.2	0	0	0	15	480	0	0	23.1	13.2	1.2	0.1	0	0	0	0	0	0	0	5	0	1.2	0.3	0.1	0	0.2	0	0.1	0	15	0	0	0	0	0	0	0
Noz		100	654	13.7	15.2	65.2	6.1	8.9	47.2	6.7	1	0.34	0.15	1.1	0.57	0.54	98	0	1.3	0	0.7	2.7	0	2	441	98	2.6	346	3.1	2.9	0	0.03	0.05	1.6	3.4	158	45	9.1	38.1	0	0	0	12	380	0	0	8.5	38.1	0.01	0	0.01	0	0	0	0	0	0	0	0	5	1.2	0.5	0	0.5	0	0	85	12	0	0	0	0	0	0	0
Feijão Azuki		100	128	25	7.5	0.1	0.03	0	0.05	7.3	0	0.12	0.04	0.6	0.4	0.1	121	0	0	0	0.1	0	0	2	532	28	0.8	168	1.7	2	0.02	0.05	0.05	0.28	0.53	52	31	0.01	0.04	0	0	0	3.5	340	0	0	0.01	0.04	0	0	0.1	0	0	1.5	0	0	0	15	0.5	2	1	0.4	0	0.2	0	0	0	20	0	0	0	0	0	0	0
Feijão Preto		100	132	23.7	8.9	0.5	0.1	0.04	0.2	8.7	0	0.24	0.06	0.5	0.24	0.14	144	0	0	0	0.2	3.3	0	1	355	27	0.3	160	1.1	2.1	0.02	0.05	0.05	0.21	0.44	70	31	0.11	0.1	0	0	0	4	420	0	0	0.04	0.1	0	0	0.2	0	0	2.4	0	0	0	45	0.6	3.5	1.5	0.5	0	0.3	0	0	0	25	0	0	0	0	0	0	0
Feijão Fradinho		100	116	21	7.7	0.5	0.1	0.04	0.2	6.5	0	0.2	0.06	0.5	0.38	0.1	208	0	0	0	0.3	2.5	0	4	278	24	2.4	156	1.1	2.5	0.02	0.05	0.05	0.19	0.46	53	27	0.04	0.15	0	0	0	3	360	0	0	0.04	0.15	0	0	0.1	0	0	1.2	0	0	0	0	0.4	1	0.8	0.3	0	0.2	0	0	0	15	0	0	0	0	0	0	0
Feijão Branco		100	139	25	9.7	0.4	0.1	0.03	0.16	6.3	0	0.12	0.06	0.4	0.24	0.12	81	0	0	0	0.2	0	0	4	415	90	1.3	188	1	3.7	0.02	0.05	0.05	0.23	0.43	63	29	0.05	0.1	0	0	0	3.2	440	0	0	0.03	0.1	0	0	0.15	0	0	1	0	0	0	0	0.3	0.8	0.6	0.2	0	0.1	0	0	0	15	0	0	0	0	0	0	0
Grão de Bico		100	164	27.4	8.9	2.6	0.3	1.4	0.6	7.6	1	0.12	0.06	0.5	0.28	0.14	172	0	1.3	0	0.4	4	0	7	291	49	3.7	168	1.5	2.9	0.02	0.05	0.05	0.35	1.03	48	42.8	0.03	0.55	0	0	0	4.5	480	0	0	1.3	0.55	0.03	0.01	0.25	0	0	0.8	0	0	0	0	0.8	1.2	0.5	0.2	0	0.2	0	0	0	20	0	0	0	0	0	0	0
Feijão Rajado		100	143	26	9	0.6	0.1	0.05	0.3	9	0	0.18	0.06	0.6	0.22	0.15	130	0	0	0	0.2	2.3	0	2	379	46	0.7	147	1	2.2	0.02	0.05	0.05	0.22	0.41	50	32	0.04	0.23	0	0	0	3.8	410	0	0	0.05	0.23	0	0	0.15	0	0	1.5	0	0	0	5	0.4	1.5	0.8	0.3	0	0.2	0	0	0	18	0	0	0	0	0	0	0
